Lower,Upper,Proper
takes it out,TAKES IT OUT,Takes It Out
kills your taste buds,KILLS YOUR TASTE BUDS,Kills Your Taste Buds
poison,POISON,Poison
firmly gripped in it's gnarled yellow claw,FIRMLY GRIPPED IN IT'S GNARLED YELLOW CLAW,Firmly Gripped In It'S Gnarled Yellow Claw
nicotine beast has me firmly gripped,NICOTINE BEAST HAS ME FIRMLY GRIPPED,Nicotine Beast Has Me Firmly Gripped
shivering,SHIVERING,Shivering
sadvil,SADVIL,Sadvil
addict,ADDICT,Addict
ruined my teeth,RUINED MY TEETH,Ruined My Teeth
cold sweat,COLD SWEAT,Cold Sweat
 numb, NUMB, Numb
lifeless,LIFELESS,Lifeless
throwing,THROWING,Throwing
trying to function normally,TRYING TO FUNCTION NORMALLY,Trying To Function Normally
can't take both,CAN'T TAKE BOTH,Can'T Take Both
withdrawl,WITHDRAWL,Withdrawl
toxicity,TOXICITY,Toxicity
chronic pain,CHRONIC PAIN,Chronic Pain
legs ache,LEGS ACHE,Legs Ache
voice,VOICE,Voice
worthlessness,WORTHLESSNESS,Worthlessness
suicidally depressed,SUICIDALLY DEPRESSED,Suicidally Depressed
shaking like ur cold,SHAKING LIKE UR COLD,Shaking Like Ur Cold
tearin up food,TEARIN UP FOOD,Tearin Up Food
eatin weird,EATIN WEIRD,Eatin Weird
munchies,MUNCHIES,Munchies
worse,WORSE,Worse
tongue is numb,TONGUE IS NUMB,Tongue Is Numb
damage all tendons,DAMAGE ALL TENDONS,Damage All Tendons
walk,WALK,Walk
been in bed,BEEN IN BED,Been In Bed
disability,DISABILITY,Disability
clumsy,CLUMSY,Clumsy
stupid,STUPID,Stupid
feeling awful,FEELING AWFUL,Feeling Awful
brain is a sack of nope,BRAIN IS A SACK OF NOPE,Brain Is A Sack Of Nope
depression,DEPRESSION,Depression
ocd,OCD,Ocd
sleep so much,SLEEP SO MUCH,Sleep So Much
eating all day,EATING ALL DAY,Eating All Day
feel weird,FEEL WEIRD,Feel Weird
feeling so shitty,FEELING SO SHITTY,Feeling So Shitty
put a gun in your hand,PUT A GUN IN YOUR HAND,Put A Gun In Your Hand
feels dreadful,FEELS DREADFUL,Feels Dreadful
lung pain,LUNG PAIN,Lung Pain
rid myself of it,RID MYSELF OF IT,Rid Myself Of It
no sleep,NO SLEEP,No Sleep
nauseas,NAUSEAS,Nauseas
chunder,CHUNDER,Chunder
tummy trouble,TUMMY TROUBLE,Tummy Trouble
perspective time and people,PERSPECTIVE TIME AND PEOPLE,Perspective Time And People
 heart beat out my chest, HEART BEAT OUT MY CHEST, Heart Beat Out My Chest
losing every breath,LOSING EVERY BREATH,Losing Every Breath
up till 4,UP TILL 4,Up Till 4
shit feeling,SHIT FEELING,Shit Feeling
hear answers,HEAR ANSWERS,Hear Answers
schizophrenia,SCHIZOPHRENIA,Schizophrenia
thick fog,THICK FOG,Thick Fog
toochill,TOOCHILL,Toochill
muscle pain,MUSCLE PAIN,Muscle Pain
weirdo dreams,WEIRDO DREAMS,Weirdo Dreams
hearing the words,HEARING THE WORDS,Hearing The Words
numb,NUMB,Numb
suicidal,SUICIDAL,Suicidal
only slept about 2 hours,ONLY SLEPT ABOUT 2 HOURS,Only Slept About 2 Hours
got me up,GOT ME UP,Got Me Up
anxiety,ANXIETY,Anxiety
hypochondria,HYPOCHONDRIA,Hypochondria
low,LOW,Low
weight gain,WEIGHT GAIN,Weight Gain
brain zap,BRAIN ZAP,Brain Zap
lost vision,LOST VISION,Lost Vision
nauseous,NAUSEOUS,Nauseous
can't cum,CAN'T CUM,Can'T Cum
gainin weight,GAININ WEIGHT,Gainin Weight
exacerbates,EXACERBATES,Exacerbates
won't you let me eat,WON'T YOU LET ME EAT,Won'T You Let Me Eat
oww,OWW,Oww
toxic,TOXIC,Toxic
equivalent to torture,EQUIVALENT TO TORTURE,Equivalent To Torture
confused,CONFUSED,Confused
out if it,OUT IF IT,Out If It
skin sensitivity,SKIN SENSITIVITY,Skin Sensitivity
wonky,WONKY,Wonky
makes me nocturnal,MAKES ME NOCTURNAL,Makes Me Nocturnal
nocturnal,NOCTURNAL,Nocturnal
balm,BALM,Balm
sleeping schedule of a vampire,SLEEPING SCHEDULE OF A VAMPIRE,Sleeping Schedule Of A Vampire
calcium problems,CALCIUM PROBLEMS,Calcium Problems
vitamin d malsorption,VITAMIN D MALSORPTION,Vitamin D Malsorption
wait gain,WAIT GAIN,Wait Gain
weight,WEIGHT,Weight
destroyed my liver,DESTROYED MY LIVER,Destroyed My Liver
almost killed me,ALMOST KILLED ME,Almost Killed Me
mixed episodes,MIXED EPISODES,Mixed Episodes
heels,HEELS,Heels
hurt,HURT,Hurt
blew out my arms,BLEW OUT MY ARMS,Blew Out My Arms
migraines,MIGRAINES,Migraines
vomit,VOMIT,Vomit
bizarre thoughts,BIZARRE THOUGHTS,Bizarre Thoughts
can't think as fast,CAN'T THINK AS FAST,Can'T Think As Fast
irritated,IRRITATED,Irritated
get out of bed ,GET OUT OF BED ,Get Out Of Bed 
aches and pains,ACHES AND PAINS,Aches And Pains
flu iike symptoms,FLU IIKE SYMPTOMS,Flu Iike Symptoms
sweats,SWEATS,Sweats
rage,RAGE,Rage
aches,ACHES,Aches
fluid retention,FLUID RETENTION,Fluid Retention
swollen lower legs,SWOLLEN LOWER LEGS,Swollen Lower Legs
comedown is hell,COMEDOWN IS HELL,Comedown Is Hell
zap noises,ZAP NOISES,Zap Noises
dry eyed,DRY EYED,Dry Eyed
inability to cry,INABILITY TO CRY,Inability To Cry
angry,ANGRY,Angry
over think,OVER THINK,Over Think
naptime,NAPTIME,Naptime
wired,WIRED,Wired
hands barely usable,HANDS BARELY USABLE,Hands Barely Usable
 tendons in lots of pain, TENDONS IN LOTS OF PAIN, Tendons In Lots Of Pain
brain shivers,BRAIN SHIVERS,Brain Shivers
barely function,BARELY FUNCTION,Barely Function
restless arms,RESTLESS ARMS,Restless Arms
restless arms &amp; legs,RESTLESS ARMS &AMP; LEGS,Restless Arms &Amp; Legs
gain weight,GAIN WEIGHT,Gain Weight
ab pain,AB PAIN,Ab Pain
cramps,CRAMPS,Cramps
fatique,FATIQUE,Fatique
joint problems,JOINT PROBLEMS,Joint Problems
skin,SKIN,Skin
ulcers in mouth,ULCERS IN MOUTH,Ulcers In Mouth
vomitting,VOMITTING,Vomitting
reacted badly,REACTED BADLY,Reacted Badly
ill,ILL,Ill
dehydrate,DEHYDRATE,Dehydrate
pee way too much,PEE WAY TOO MUCH,Pee Way Too Much
rant,RANT,Rant
addiction,ADDICTION,Addiction
dependance,DEPENDANCE,Dependance
felt like sumo wrestler,FELT LIKE SUMO WRESTLER,Felt Like Sumo Wrestler
feel disgusting,FEEL DISGUSTING,Feel Disgusting
urge to vomit,URGE TO VOMIT,Urge To Vomit
cleaned my entire kitchen,CLEANED MY ENTIRE KITCHEN,Cleaned My Entire Kitchen
3am,3AM,3Am
digestive problems,DIGESTIVE PROBLEMS,Digestive Problems
pancreatitis,PANCREATITIS,Pancreatitis
lower back pain,LOWER BACK PAIN,Lower Back Pain
shoulder,SHOULDER,Shoulder
weak knees,WEAK KNEES,Weak Knees
limping,LIMPING,Limping
tourettes,TOURETTES,Tourettes
twitchy,TWITCHY,Twitchy
cry,CRY,Cry
tear my own face off &amp; eat it,TEAR MY OWN FACE OFF &AMP; EAT IT,Tear My Own Face Off &Amp; Eat It
whacks me out,WHACKS ME OUT,Whacks Me Out
tmj,TMJ,Tmj
flu symptoms,FLU SYMPTOMS,Flu Symptoms
hangover,HANGOVER,Hangover
cant keep still,CANT KEEP STILL,Cant Keep Still
sick ,SICK ,Sick 
hating the world,HATING THE WORLD,Hating The World
steal your soul,STEAL YOUR SOUL,Steal Your Soul
not working as well,NOT WORKING AS WELL,Not Working As Well
like taking rat poison,LIKE TAKING RAT POISON,Like Taking Rat Poison
worsening pain,WORSENING PAIN,Worsening Pain
hypomania,HYPOMANIA,Hypomania
sleep paralysis,SLEEP PARALYSIS,Sleep Paralysis
blood pressure dropped,BLOOD PRESSURE DROPPED,Blood Pressure Dropped
couldn’t walk,COULDN’T WALK,Couldn’T Walk
libido,LIBIDO,Libido
sex drive,SEX DRIVE,Sex Drive
crying,CRYING,Crying
screaming,SCREAMING,Screaming
arms stil hurt,ARMS STIL HURT,Arms Stil Hurt
tendons is like a razor to rope,TENDONS IS LIKE A RAZOR TO ROPE,Tendons Is Like A Razor To Rope
weaker,WEAKER,Weaker
won't heal,WON'T HEAL,Won'T Heal
ataxia,ATAXIA,Ataxia
neuro problems,NEURO PROBLEMS,Neuro Problems
coming off klonopin and paxil was hell,COMING OFF KLONOPIN AND PAXIL WAS HELL,Coming Off Klonopin And Paxil Was Hell
felt nothing,FELT NOTHING,Felt Nothing
triggers my rapid cycling,TRIGGERS MY RAPID CYCLING,Triggers My Rapid Cycling
dream,DREAM,Dream
groggy in the morning,GROGGY IN THE MORNING,Groggy In The Morning
painful,PAINFUL,Painful
burns,BURNS,Burns
hurts,HURTS,Hurts
zombified,ZOMBIFIED,Zombified
messed up dreams,MESSED UP DREAMS,Messed Up Dreams
racing heart,RACING HEART,Racing Heart
palpitations,PALPITATIONS,Palpitations
messed me up,MESSED ME UP,Messed Me Up
pains,PAINS,Pains
feel kinda terrible,FEEL KINDA TERRIBLE,Feel Kinda Terrible
gained 40lbs,GAINED 40LBS,Gained 40Lbs
inside i was still screaming,INSIDE I WAS STILL SCREAMING,Inside I Was Still Screaming
metabolic syndrome,METABOLIC SYNDROME,Metabolic Syndrome
knocks me out,KNOCKS ME OUT,Knocks Me Out
mobile,MOBILE,Mobile
glaucoma,GLAUCOMA,Glaucoma
pins &amp; needles,PINS &AMP; NEEDLES,Pins &Amp; Needles
shot my daughter,SHOT MY DAUGHTER,Shot My Daughter
thirty minutes to type,THIRTY MINUTES TO TYPE,Thirty Minutes To Type
lo0o0py,LO0O0PY,Lo0O0Py
waking up without knowing i feel asleep,WAKING UP WITHOUT KNOWING I FEEL ASLEEP,Waking Up Without Knowing I Feel Asleep
sleep for days,SLEEP FOR DAYS,Sleep For Days
sedating,SEDATING,Sedating
physically,PHYSICALLY,Physically
mentally drained,MENTALLY DRAINED,Mentally Drained
"back, hip, and leg aches","BACK, HIP, AND LEG ACHES","Back, Hip, And Leg Aches"
leg aches,LEG ACHES,Leg Aches
"neck, back, hip, and leg aches","NECK, BACK, HIP, AND LEG ACHES","Neck, Back, Hip, And Leg Aches"
"hip, and leg aches","HIP, AND LEG ACHES","Hip, And Leg Aches"
headaches ,HEADACHES ,Headaches 
common for apartments to be haunted,COMMON FOR APARTMENTS TO BE HAUNTED,Common For Apartments To Be Haunted
antipsychotics,ANTIPSYCHOTICS,Antipsychotics
feels like one of those 5-cup #coffee days,FEELS LIKE ONE OF THOSE 5-CUP #COFFEE DAYS,Feels Like One Of Those 5-Cup #Coffee Days
stay in shape,STAY IN SHAPE,Stay In Shape
lucidity,LUCIDITY,Lucidity
dreams became vivider,DREAMS BECAME VIVIDER,Dreams Became Vivider
sleep all the time,SLEEP ALL THE TIME,Sleep All The Time
bombed,BOMBED,Bombed
after sting,AFTER STING,After Sting
look at my farrah fawcett poster,LOOK AT MY FARRAH FAWCETT POSTER,Look At My Farrah Fawcett Poster
egg burps,EGG BURPS,Egg Burps
increase my weight,INCREASE MY WEIGHT,Increase My Weight
rage breaking things,RAGE BREAKING THINGS,Rage Breaking Things
kicking my ass,KICKING MY ASS,Kicking My Ass
nauaea,NAUAEA,Nauaea
arms just keep getting worse.,ARMS JUST KEEP GETTING WORSE.,Arms Just Keep Getting Worse.
can't even get whipped cream out of the can,CAN'T EVEN GET WHIPPED CREAM OUT OF THE CAN,Can'T Even Get Whipped Cream Out Of The Can
feel so ick,FEEL SO ICK,Feel So Ick
doing things difficult,DOING THINGS DIFFICULT,Doing Things Difficult
fall asleep,FALL ASLEEP,Fall Asleep
body ache,BODY ACHE,Body Ache
shooting pains down arms,SHOOTING PAINS DOWN ARMS,Shooting Pains Down Arms
shooting pains down arms &amp; legs,SHOOTING PAINS DOWN ARMS &AMP; LEGS,Shooting Pains Down Arms &Amp; Legs
lightweight,LIGHTWEIGHT,Lightweight
in a fog,IN A FOG,In A Fog
"dont get it, sex","DONT GET IT, SEX","Dont Get It, Sex"
feel wasted,FEEL WASTED,Feel Wasted
slept 13-14 hrs,SLEPT 13-14 HRS,Slept 13-14 Hrs
intense dreams,INTENSE DREAMS,Intense Dreams
"you can check in, but you can never leave","YOU CAN CHECK IN, BUT YOU CAN NEVER LEAVE","You Can Check In, But You Can Never Leave"
brain turn to mush,BRAIN TURN TO MUSH,Brain Turn To Mush
crawl in a hole,CRAWL IN A HOLE,Crawl In A Hole
emotional,EMOTIONAL,Emotional
dark night of the soul,DARK NIGHT OF THE SOUL,Dark Night Of The Soul
gastro pain,GASTRO PAIN,Gastro Pain
just woke up,JUST WOKE UP,Just Woke Up
weight i put on,WEIGHT I PUT ON,Weight I Put On
 carb cravings, CARB CRAVINGS, Carb Cravings
shouldn't wake up,SHOULDN'T WAKE UP,Shouldn'T Wake Up
tremors,TREMORS,Tremors
sicksicksick,SICKSICKSICK,Sicksicksick
trying to get up,TRYING TO GET UP,Trying To Get Up
jcv,JCV,Jcv
hip joints just started hurting,HIP JOINTS JUST STARTED HURTING,Hip Joints Just Started Hurting
seizures,SEIZURES,Seizures
bowels,BOWELS,Bowels
broken sleep,BROKEN SLEEP,Broken Sleep
dehydrates,DEHYDRATES,Dehydrates
binge eat,BINGE EAT,Binge Eat
lung issues,LUNG ISSUES,Lung Issues
respiratory issues,RESPIRATORY ISSUES,Respiratory Issues
smell,SMELL,Smell
" ""smelled"" a pungent solvent odor"," ""SMELLED"" A PUNGENT SOLVENT ODOR"," ""Smelled"" A Pungent Solvent Odor"
chemo,CHEMO,Chemo
destroyed my lungs,DESTROYED MY LUNGS,Destroyed My Lungs
t cell went up,T CELL WENT UP,T Cell Went Up
hair falling out,HAIR FALLING OUT,Hair Falling Out
"awesome vision, to wearing glasses","AWESOME VISION, TO WEARING GLASSES","Awesome Vision, To Wearing Glasses"
eyesight,EYESIGHT,Eyesight
cravings,CRAVINGS,Cravings
alcoholism,ALCOHOLISM,Alcoholism
cravings ,CRAVINGS ,Cravings 
restlessness,RESTLESSNESS,Restlessness
body would rock ,BODY WOULD ROCK ,Body Would Rock 
tremors in hands,TREMORS IN HANDS,Tremors In Hands
tremors in hands andlegs,TREMORS IN HANDS ANDLEGS,Tremors In Hands Andlegs
desperation,DESPERATION,Desperation
twirls her hair constantly,TWIRLS HER HAIR CONSTANTLY,Twirls Her Hair Constantly
feet are always going,FEET ARE ALWAYS GOING,Feet Are Always Going
did make my legs go,DID MAKE MY LEGS GO,Did Make My Legs Go
shaking,SHAKING,Shaking
tension in my nerves,TENSION IN MY NERVES,Tension In My Nerves
nightmare,NIGHTMARE,Nightmare
eh whatever,EH WHATEVER,Eh Whatever
nosleep,NOSLEEP,Nosleep
sobbing,SOBBING,Sobbing
wailed,WAILED,Wailed
insomniac,INSOMNIAC,Insomniac
night visions,NIGHT VISIONS,Night Visions
sleep past 24 hrs,SLEEP PAST 24 HRS,Sleep Past 24 Hrs
tummy pains,TUMMY PAINS,Tummy Pains
exhausted,EXHAUSTED,Exhausted
lethargy,LETHARGY,Lethargy
reduces libido,REDUCES LIBIDO,Reduces Libido
leg is itching,LEG IS ITCHING,Leg Is Itching
paranoia,PARANOIA,Paranoia
blurry-eyed,BLURRY-EYED,Blurry-Eyed
staggering,STAGGERING,Staggering
amnesic,AMNESIC,Amnesic
gi effects,GI EFFECTS,Gi Effects
sleepiness,SLEEPINESS,Sleepiness
prop my eyelids open,PROP MY EYELIDS OPEN,Prop My Eyelids Open
connective tissue,CONNECTIVE TISSUE,Connective Tissue
lungs,LUNGS,Lungs
thyroid,THYROID,Thyroid
feel like throwing up,FEEL LIKE THROWING UP,Feel Like Throwing Up
 burns, BURNS, Burns
murdering my mind,MURDERING MY MIND,Murdering My Mind
weird &amp; bizarre dreams,WEIRD &AMP; BIZARRE DREAMS,Weird &Amp; Bizarre Dreams
anaphylactic shock,ANAPHYLACTIC SHOCK,Anaphylactic Shock
almost died,ALMOST DIED,Almost Died
nose feel like its bleeding,NOSE FEEL LIKE ITS BLEEDING,Nose Feel Like Its Bleeding
weak,WEAK,Weak
numb to feel,NUMB TO FEEL,Numb To Feel
vertigo,VERTIGO,Vertigo
with drawls,WITH DRAWLS,With Drawls
dizziness,DIZZINESS,Dizziness
wdrawal,WDRAWAL,Wdrawal
mood,MOOD,Mood
vomits,VOMITS,Vomits
withdrawls,WITHDRAWLS,Withdrawls
descent into madness,DESCENT INTO MADNESS,Descent Into Madness
